工 (gōng)	Arbeit; Arbeiter
王 (wáng)	(in frühester Zeit:) Kaiser; (zur Zeit der Streitenden Rei- che:) König (eines Teilstaates); (ab der Qín-Dynastie: höchster Adelsrang unterhalb des Kaisers); (neuzeit- licher) König; (ein Familienname)
木 (mù)	Baum; Holz
文 (wén)	Schrift; Text; Schrifttum; Literatur; {Schrift-}Sprache; Kultur
一 (yī)	eins
二 (èr)	zwei
六 (liù)	sechs
八 (bā)	acht
半 (bàn)	halb; Hälfte
个 (gè / ge)	(allgemeinstes Zähleinheitswort für Einzelwesen/-dinge, in den meisten Verwendungen im neutralen Ton gesprochen)
天 (tiān)	Himmel (auch metaphysisch); Tag (als Zähleinheitswort); Tag (als Nomen)
头 (tóu)	Kopf; (Zähleinheitswort für Exemplare einiger Tierarten mit großem Kopf, z.B. für Rinder)
本 (běn)	(Hauptbedeutung:) Wurzel; Ursprung; (Zähleinheitswort für Gebundenes, z.B. für Bücher)
杯 (bēi)	Becher; Tasse; Glas (als Nomen; als Zähleinheitswort)
不 (bù)	nein; nicht
太 (tài)	zu; allzu; höchst
大 (dà)	groß (in allen Dimensionen, nicht nur der vertikalen, daher nicht als Adjektiv zur Angabe der Körpergröße verwendet); alt (nicht im Sinn von „betagt", sondern im Sinn von „ein bestimmtes Alter erreicht habend", auch auf Kinder anwendbar)
干 (gān) (gàn)	trocken; (ein Trinkgefäß) leeren (= "trocken machen")
干 (gàn) (gàn)	(Hauptbedeutung:) tun
开 (kāi)	(Hauptbedeutung:) öffnen
关 (guān)	(Hauptbedeutung:) schließen; (ein Familienname)
来 (lái)	(Hauptbedeutung:) kommen
你 (nǐ)	du; (sofern das Gegenüber nicht deutlich älter oder ranghöher ist, auch:) Sie
好 (hǎo)	gut; in guter Verfassung; gesund; nett; schön
我 (wǒ)	ich
问 (wèn)	fragen
答 (dá)	antworten (Kurzform, nur in bestimmten Verwendungen)
他们 (tāmen)	sie (3. Person Plural, im allgemeinen nur bei Menschen und nur, wenn mindestens eines Person männlich)
他 (tā)	er
们 (men)	(Suffix zur Bildung des Plurals der Personalpronomen 我, 你, 他/她 sowie von Nomen, die menschliche oder vermenschlicht dargestellte Wesen bezeichnen)
吗 (ma)	(Fragepartikel für Ja-Nein-Fragen)
很 (hěn)	(ein bei normaler Betonung nicht allzu starkes) sehr (kennzeichnet auch ein adjektivisches Prädikat als weder vergleichend noch kontrastierend gemeint)
