您 (nín)	Sie
老师 (lǎoshī)	Lehrer{in}; (als Anrede:) Herr/‌Frau Lehrer{in}, Herr/‌‌Frau Professor
老 (lǎo)	alt (meistens auf Personen bezogen; bei Dingen nur, wenn mit dem Alter nicht Abgenütztheit assoziiert werden soll)
你们 (nǐmen)	ihr (2. Person Plural)
大家 (dàjiā)	{wir/ihr/sie} alle (zur Verdeutlichung kann 我们, 你们, 他们 oder 她们 davorgestellt werden)
同学 (tóngxué)	Schüler{in}/Studierende{r} derselben Lehranstalt; ‌ Mitschüler{in}; Studienkollege/‌‑in; Kommilitone (Achtung: In 我们都是同学kann 同学 nicht mit „Mitschüler/‌‌‑innen" übersetzt werden, da das deutsche Wort den/‌die Sprecher{in} nicht inkludiert.); (Anrede für eine{n} Schüler{in} bzw. Studierende{n}, oft seitens der Lehrkraft)
是 (shì)	(Hauptbedeutung:) sein (als Kopula)
是{的} (shì'{'de'}')	ja; stimmt; richtig
学生 (xuéshēng)	Schüler{in}; Student{in}
也 (yě)	(Hauptbedeutung:) auch
和 (hé)	und
她 (tā)	sie (3. Person Sing.)
她们 (tāmen)	sie (3. Person Plural, im allgemeinen nur bei Menschen und nur, wenn keine Person männlich)
都 (dōu)	alle; beide
三 (sān)	drei
学 (xué)	lernen; studieren
汉语 (hànyǔ)	Chinesisch (aber nicht, wenn nur auf Geschriebenes bezogen, auch nicht für „Chinesisch" als Studienfach analog zur Germanistik)
汉 (hàn)	Hàn (1.: das chinesische Mehrheitsvolk mit über 90% Bevölkerungsanteil; 2.: die Dynastie gleichen Namens)
语 (yǔ)	Sprache
呢 (ne)	(Partikel, u.a. zum Abschluss eines nur aus einem Nomen/Pronomen, einer Nominalphrase oder einem konditionalen Nebensatz bestehenden Fragesatzes, entspricht im Deutschen einem einleitenden „und", z.B. in "Und wenn es regnet?")
我们 (wǒmen)	wir
韩语 (hányǔ)	Koreanisch (aber nicht, wenn nur auf Geschriebenes bezogen)
的 (de)	(Strukturpartikel, vor allem zur Verbindung eines Attributs mit dem darauf folgenden, von diesem Attribut näher bestimmten Kern einer Nominalphrase)
还是 (háishì)	oder (in Alternativfragen)
日语 (rìyǔ)	Japanisch (aber nicht, wenn nur auf Geschriebenes bezogen)
还 (hái)	(hier:) außerdem noch; auch noch; (sonst u.a.:) (zeitliches) noch; noch immer
王文 (wángwén)	(Personenname: Familienname Wáng, Vorname Wén)
中国人 (zhōngguórén)	Chinese/‌‑in
中国 (zhōngguó)	China (wörtl. „Mitte-Land" - China ist das Reich der Mitte)
人 (rén)	Mensch
韩国 (hánguó)	Südkorea
日本 (rìběn)	Japan (wörtl. „Sonnenursprung" - Japan ist das Land der aufgehenden Sonne)
七 (qī)	sieben
三 (sān)	drei
中 (zhōng)	(hier:) unter (im Sinn von „in der Menge der ..."); (sonst oft:) in; inmitten (nominale Hauptbedeutung:) Mitte
两 (liǎng)	zwei (obligatorisch statt „二" vor den meisten Zähleinheitswörtern)
美国 (měiguó)	USA (美: phonetische Entlehnung der zweiten Silbe von „America")
四 (sì)	vier
德国 (déguó)	Deutschland (德: phonetische Entlehnung der ersten Silbe von „Deutschland")
九 (jiǔ)	neun
英国 (yīngguó)	UK (英: phonetische Entlehnung der ersten Silbe von „England"; allerdings ist 英国 die umgangssprachliche Kurzbezeichnung für das UK, nicht für England)
