这 (zhè)	diese{r/‌‑s}; dies; (auf Nahes hinweisendes) das; das hier
汉字 (hànzì)	chinesisches Schriftzeichen
认识 (rènshì)	kennen; kennenlernen
字 (zì)	Schriftzeichen
怎么 (zěnme)	wie; wie kommt es, dass; wieso
念 (niàn)	(mit Stimme) lesen; vorlesen; (eine Schule/‌Universität) besuchen
那 (nà)	jene{r/‌‑s}; (auf nicht allzu Nahes hinweisendes) das; das dort
习 (xí)	üben
词 (cí)	Wort
语言 (yǔyán)	Sprache
左边{儿} (zuǒbiān'{'er'}')	links; links von; (mit 的:) linke{r/‑s}
左 (zuǒ)	links; links von; linke{r/‑s}
...边{儿} ('.''.''.'biān'{'er'}')	(Suffix hinter einsilbigen Positionswörtern, erzeugt zweisilbige Positionswörter)
点{儿} (diǎn'{'er'}')	tropfenförmiger Strich (in chinesischen Schriftzeichen) („丶" geschrieben); (Grundbedeutungen:) Tropfen; Fleck
点{儿} (diǎn'{'er'}')	tropfenförmiger Strich (in chinesischen Schriftzeichen); (sonst v.a.:) kleine Menge (davor als Zahl nur „一" möglich: 一点{儿} = „ein bisschen")
水 (shuǐ)	Wasser
右边{儿} (yòubiān'{'er'}')	rechts; rechts von; (mit 的:) rechte{r/‑s}
右 (yòu)	rechts; rechts von; rechte{r/‑s}
又 (yòu)	(hier:) wieder (wenn die Wiederholung bereits eingetreten ist; vor dem Verb 是 und vor Modalverben auch sonst)
言字旁 (=讠) (yánzìpáng)	„Wort"-Zeichen-Seitenteil (= linker Schriftzeichen-Seitenteil mit den Bedeutungen „Wort", "sagen")
旁 (páng)	linker Schriftzeichen-Seitenteil (auch 旁儿)
旁 (páng)	neben; seitlich
上面 (shàngmiàn)	oben; oberhalb; über; auf; an; (mit 的:) oben genannte{r/‌-s}; obiger{r/‌-s}
下面 (xiàmiàn)	unten; unterhalb; unter; {als} nächste{r/‌-s}; (mit 的:) folgende{r/‌-s}
口 (kǒu)	Mund (in bestimmten Verwendungen; nicht, wenn man nur den äußerlich sichtbaren Teil des Mundes meint); (oft mit 儿:) Öffnung; Mündung
有 (yǒu)	haben; es gibt
几 (jǐ)	wie viele (wenn Antwort unter zehn erwartet) (Achtung: Bei der Frage nach einer Ordinalzahl spielt die Erwartung keine Rolle; „wievielter/‌‑e/‌‑es" heißt immer第几oder - in bestimmten Fällen - 几 alleine); ein paar (unter zehn)
画 (huà)	Strich (eines chinesischen Schriftzeichens)
画 (huà)	malen; zeichnen
一共 (yīgòng)	insgesamt; alles zusammen
生词 (shēngcí)	neue Vokabel (wörtl.: „femdes Wort")
句子 (jùzi)	Satz
看 (kàn)	(Hauptbedeutung:) schauen; sich anschauen; (hier:) lesen; (sonst auch:) besuchen; meinen
懂 (dǒng)	verstehen
了 (le)	(hinter einem Resultatskomplement drückt 了 die Realisierung des jeweiligen Resultats aus)
没{有} (méi'{'yǒu'}')	(meistens mit有:) nicht haben; es gibt kein{e}; ohne
没{有} (méi'{'yǒu'}')	nicht (als Verneinung der Realisierung, des Situationswandels, des Vorsichgehens und des Andauerns)
话 (huà)	Sprache; Worte
上 (shàng)	auf
上 (shàng)	(hier:) vorige{r/‌-s}; (sonst v.a.:) oben; obere{r/‌-s}
次 (cì)	Mal; -mal
下 (xià)	(hier:) nächste{r/‌-s}; (sonst v.a.:) unter; am Fuße des/der; unten; untere{r/‌-s}
要 (yào)	(hier:) werden
