上午 (shàngwǔ)	{am} Vormittag
刚 (gāng)	{gerade} eben; gerade erst; eben erst; erst vor Kurzem; kaum; gerade einmal (Anm.: In seiner zeitbezogenen Verwendung kennzeichnet 刚ein Ereignis oder einen Zustand als subjektiv erst kurz vor dem Bezugszeitpunkt eingetreten und ununterbrochen bis in diesen fortwirkend - z.B. wirkt 到in 她刚到 = „Sie ist gerade eben / erst vor Kurzem angekommen" insofern ununterbrochen bis zum Bezugszeitpunkt - hier: bis zum Zeitpunkt des Sprechens - fort, als „sie" die ganze Zeit bis zu diesem Zeitpunkt da ist.)
在 (zài)	beim ... sein; dabei sein zu ... (在 hier Adverb! Es drückt den progressiven Aspekt aus, d.h., dass man eine Tätigkeit als im Gange befindlich betrachtet; dient manchmal auch zur Intensivierung des Ausdrucks - Bsp.: 我在问你 ... = „Ich frage dich ..."; entspricht in vielen Fällen der englischen „‑ing"‑Form)
正在 (zhèngzài)	gerade beim ... sein; gerade dabei sein zu ... (kennzeichnet eine Tätigkeit als gerade zu einem Bezugszeitpunkt (z.B. dem Zeitpunkt des Sprechens) im Gange befindlich; meist nur mit „gerade" + Verb übersetzt)
看 (kàn)	(hier:) sich anschauen; auf ... schauen
... 的时候 (... deshíhòu)	(temporales) wenn ...; als ... (Beispiel: 他来的时候 = „wenn er kommt"/„als er kam", wörtlich „[zum] Zeitpunkt von ‚er kommt'")
时候 (shíhòu)	Zeitpunkt; Moment; Zeit
刚刚 (gānggāng)	{gerade} eben; gerade erst; eben erst; erst vor Kurzem; kaum; gerade einmal (wie 刚, betont aber stärker die subjektive Kürze des Zurückliegens)
从 (cóng)	(hier:) durch
大门口 (dàménkǒu)	Toreingang
门口 (ménkǒu)	Eingang
进来 (jìnlái)	hereinkommen
来 (lái)	(drückt als Richtungskomplement aus, dass sich eine Handlung „her" zur Position des Sprechers oder zu dem Ort, in den sich der Sprecher hineinversetzt, vollzieht)
来 (lái)	(Hauptbedeutung:) kommen
刚好 (gānghǎo)	zufällig gerade; es trifft/traf sich, dass; zufällig genau; gerade noch (wie in „gerade noch ... erreicht haben")
看见 (kànjiàn)	sehen; erblicken
见 (jiàn)	(Resultatkomplement, v.a. zum Ausdruck, dass eine der sensorischen Aktivitäten „schauen", „hinhören", „riechen" zur entsprechenden Sinnesempfindung geführt hat)
正 (zhèng)	(mit zeitlichem Bezug:) gerade (zu einem Bezugszeitpunkt, z.B. dem Zeitpunkt des Sprechens); (sonst oft:) genau
要 (yào)	(hier:) wollen
里面 (lǐmiàn)	in; innen; drinnen; innerhalb; (mit 的:) innere{r/‌‑s}
走过来 (zǒuguòlái)	sich (zu Fuß) nähern; (zu Fuß) herüberkommen
过来 (guòlái)	(Richtungskomplement zur Angabe, dass eine Handlung her zum Sprecher oder zu dem Ort, in den sich der Sprecher hineinversetzt, erfolgt; im Gegensatz zu 来, das als Verbkomplement nur die Richtung angibt, veranschaulicht 过来 jedoch den Vorgang; dieser kann, aber muss nicht - wie es das deutsche „herüber" ausdrückt - in einer Durch- oder Überquerung von etwas anderem als dem bloßen Raum bestehen.)
过来 (guòlái)	herkommen; herüberkommen (vgl. damit 来 = „kommen")
