每 (měi)	jede{r/‌‑s}
月 (yuè)	Monat; (ursprüngl. und noch in Zusammensetzungen:) Mond
星期 (xīngqī)	Woche
开学 (kāixué)	das Semester/Schuljahr‌ (usw.) beginnt
今年 (jīnnián)	heuer (wörtl. „jetziges Jahr")
日 (rì)	Tag; Tag des Monats (v.a. in geschriebener Sprache); (ursprüngl. und noch in Zusammensetzungen:) Sonne
日 (rì)	Tag (v.a. in geschriebener Sprache)
开学日 (kāixuérì)	Semesterbeginn; erster Tag des Semesters; erster Tag des Schuljahrs
... 之前 (... zhīqián)	vor ... (meistens im zeitlichen Sinn); bevor ...
来 (lái)	(drückt hier aus, dass der darauf folgende Verbalausdruck die Handlung bezeichnet, die man vorhat bzw. sich anschickt zu tun)
让 (ràng)	(u.a.:) lassen; (auch im SInn von „veranlassen":) sagen, dass ... soll{st/‌‑en/‌‑t}
自己 (zìjǐ)	selbst; selber; (meist mit 的:) eigener/‌‑e/‌‑es
做 (zuò)	(Hauptbedeutung:) machen
自我介绍 (zìwǒjièshào)	sich selbst vorstellen (im Lektionstext hauptwörtlich verwendet)
自我 (zìwǒ)	sich {selbst}
介绍 (jièshào)	vorstellen; mit ... bekannt machen; mit ... vertraut machen; empfehlen; vorschlagen
跟 (gēn)	und
重要 (zhòngyào)	wichtig
重 (zhòng)	schwer (v.a. was das Gewicht betrifft, aber z.B. auch auf eine Erkrankung bezogen, jedenfalls nicht im Sinn von "schwierig"); wichtig; gewichtig; bedeutend
红 (hóng)	rot
没有关系 (méiyǒuguānxì)	(hier:) keine Rolle spielen; ohne Belang sein
爸爸 (bàbà)	Papa (auch von erwachsenen Chinesen gebraucht - oft in Kontexten, in denen man auf Deutsch "Vater" sagen würde)
老{是} (lǎo{shì})	ständig; andauernd (oft in Klagen verwendet)
吃 (chī)	essen (Anm.: Wenn weder aus dem Satz noch aus dessen Kontext ein konkretes Objekt von 吃hervorgeht, wird in der Regel ein wenig spezifisches Objekt wie 饭fàn (= „Essen") im Fall einer Mahlzeit oder 东西dōngxi (= wörtl. „Sache{n}", hier „etwas") eingesetzt.)
子 (zi)	Kind; Samen; Kern; gelehrter Meister
子 (zi)	Meister (als ehrender Namenszusatz)
老子 (lǎozi)	(umgangssprachlich für:) Vater; ich alter Kerl
会 (huì)	(etwas Erlernbares) können (nur mit bestimmten Objekten, z.B. den Namen von Sprachen, wie etwa in 会汉语 = „Chinesisch können")
会 (huì)	(hier:) (etwas Erlernbares) können; (eine weitere ähnliche Bedeutung:) sich auf (etwas) verstehen
妈妈 (māmā)	Mama (auch von erwachsenen Chinesen gebraucht - oft in Kontexten, in denen man auf Deutsch "Mutter" sagen würde)
花市 (huāshì)	Blumenmarkt
花色 (huāsè)	Muster und Farben; Sortiment
和 (hé)	mit; gegen (z.B. in „gegen ihn einen Wettkampf austragen"); wie (z.B. in „gleich groß wie")
长 (zhǎng)	lang (normalerweise im räumlichen Sinn, bezogen auf das Wort 时间natürlicherweise im zeitlichen Sinn) (Achtung: In der Aussprache zhǎng heißt 长 „wachsen".)
时间 (shíjiān)	Zeit
总是 (zǒngshì)	stets; immer
对 ... 来说 (duì ... láishuō)	für ... (im Sinn von „wenn man (etwas) auf ... bezieht")
母语 (mǔyǔ)	Muttersprache
非常 (fēicháng)	(starkes) sehr; äußerst
语病 (yǔbìng)	fehlerhafter Ausdruck; mangelhafte Formulierung (wörtl.: „Sprachkrankheit")
病 (bìng)	Krankheit
病 (bìng)	krank sein
... 的意思是说 (... deyìsīshìshuō)	was ... sagen will, ist; worauf ... hinaus will, ist
生病 (shēngbìng)	erkranken; krank werden
生 (shēng)	(Grundbedeutung:) gebären; (hier:) sich ... zuziehen
说话 (shuōhuà)	sprechen (ohne 话, wenn ein konkretes Objekt genannt wird oder aus dem Kontext erschlossen werden kann)
总 (zǒng)	(hier:) stets; immer
一样 (yīyàng)	gleich; genauso; ebenso
应该 (yīnggāi)	sollte{st/‌‑n/‌‑t} (hier im Sinn von „es wäre angebracht zu"); müssen (nicht aufgrund eines Zwanges, sondern im Sinn von „es ist angebracht zu"); (weitere ähnliche Bedeutung:) es ist für ... eine Selbstverständlichkeit zu ...
回 (huí)	(hier als Zähleinheitswort für Ereignisse:) Mal; -mal
只 (zhǐ)	nur
孩子 (háizi)	Kind
高中生 (gāozhōngshēng)	Oberstufenschüler/-in (in China: „Schüler/-in der zehnten bis zwölften Schulstufe")
高中 (gāozhōng)	Oberstufe (in China die zehnte bis zwölfte Schulstufe)
朋友 (péngyǒu)	Freund{in}
它 (tā)	es (Personalpronomen 3. Person Singular für Unbelebtes und - in Langzeichentexten 牠 geschrieben - für Tiere)
条 (tiáo)	(Zähleinheitswort für längliche, oft bandförmige Dinge/Lebewesen wie Hosen, Boote, Flüsse oder Straßen bzw. Wesen wie Schlangen, Fische oder Hunde; ursprüngliche nominale Bedeutung: „dünner Zweig")
岁 (suì)	Jahr (im Sinn von „Lebensjahr")
漂亮 (piàoliàng)	schön; hübsch; prächtig; ausgezeichnet; glanzvoll
小狗 (xiǎogǒu)	Hündchen
狗 (gǒu)	Hund
