工	Arbeit; Arbeiter
王	(in frühester Zeit:) Kaiser; (zur Zeit der Streitenden Rei- che:) König (eines Teilstaates); (ab der Qín-Dynastie: höchster Adelsrang unterhalb des Kaisers); (neuzeit- licher) König; (ein Familienname)
木	Baum; Holz
文	Schrift; Text; Schrifttum; Literatur; {Schrift-}Sprache; Kultur
一	eins
二	zwei
六	sechs
八	acht
半	halb; Hälfte
个	(allgemeinstes Zähleinheitswort für Einzelwesen/-dinge, in den meisten Verwendungen im neutralen Ton gesprochen)
天	Himmel (auch metaphysisch); Tag (als Zähleinheitswort); Tag (als Nomen)
头	Kopf; (Zähleinheitswort für Exemplare einiger Tierarten mit großem Kopf, z.B. für Rinder)
本	(Hauptbedeutung:) Wurzel; Ursprung; (Zähleinheitswort für Gebundenes, z.B. für Bücher)
杯	Becher; Tasse; Glas (als Nomen; als Zähleinheitswort)
不	nein; nicht
太	zu; allzu; höchst
大	groß (in allen Dimensionen, nicht nur der vertikalen, daher nicht als Adjektiv zur Angabe der Körpergröße verwendet); alt (nicht im Sinn von „betagt", sondern im Sinn von „ein bestimmtes Alter erreicht habend", auch auf Kinder anwendbar)
干 (gān)	trocken; (ein Trinkgefäß) leeren (= "trocken machen")
干 (gàn)	(Hauptbedeutung:) tun
开	(Hauptbedeutung:) öffnen
关	(Hauptbedeutung:) schließen; (ein Familienname)
来	(Hauptbedeutung:) kommen
你	du; (sofern das Gegenüber nicht deutlich älter oder ranghöher ist, auch:) Sie
好	gut; in guter Verfassung; gesund; nett; schön
我	ich
问	fragen
答	antworten (Kurzform, nur in bestimmten Verwendungen)
他们	sie (3. Person Plural, im allgemeinen nur bei Menschen und nur, wenn mindestens eines Person männlich)
他	er
们	(Suffix zur Bildung des Plurals der Personalpronomen 我, 你, 他/她 sowie von Nomen, die menschliche oder vermenschlicht dargestellte Wesen bezeichnen)
吗	(Fragepartikel für Ja-Nein-Fragen)
很	(ein bei normaler Betonung nicht allzu starkes) sehr (kennzeichnet auch ein adjektivisches Prädikat als weder vergleichend noch kontrastierend gemeint)
