您	Sie
老师	Lehrer{in}; (als Anrede:) Herr/‌Frau Lehrer{in}, Herr/‌‌Frau Professor
老	alt (meistens auf Personen bezogen; bei Dingen nur, wenn mit dem Alter nicht Abgenütztheit assoziiert werden soll)
你们	ihr (2. Person Plural)
大家	{wir/ihr/sie} alle (zur Verdeutlichung kann 我们, 你们, 他们 oder 她们 davorgestellt werden)
同学	Schüler{in}/Studierende{r} derselben Lehranstalt; ‌ Mitschüler{in}; Studienkollege/‌‑in; Kommilitone (Achtung: In 我们都是同学kann 同学 nicht mit „Mitschüler/‌‌‑innen" übersetzt werden, da das deutsche Wort den/‌die Sprecher{in} nicht inkludiert.); (Anrede für eine{n} Schüler{in} bzw. Studierende{n}, oft seitens der Lehrkraft)
是	(Hauptbedeutung:) sein (als Kopula)
是{的}	ja; stimmt; richtig
学生	Schüler{in}; Student{in}
也	(Hauptbedeutung:) auch
和	und
她	sie (3. Person Sing.)
她们	sie (3. Person Plural, im allgemeinen nur bei Menschen und nur, wenn keine Person männlich)
都	alle; beide
三	drei
学	lernen; studieren
汉语	Chinesisch (aber nicht, wenn nur auf Geschriebenes bezogen, auch nicht für „Chinesisch" als Studienfach analog zur Germanistik)
汉	Hàn (1.: das chinesische Mehrheitsvolk mit über 90% Bevölkerungsanteil; 2.: die Dynastie gleichen Namens)
语	Sprache
呢	(Partikel, u.a. zum Abschluss eines nur aus einem Nomen/Pronomen, einer Nominalphrase oder einem konditionalen Nebensatz bestehenden Fragesatzes, entspricht im Deutschen einem einleitenden „und", z.B. in "Und wenn es regnet?")
我们	wir
韩语	Koreanisch (aber nicht, wenn nur auf Geschriebenes bezogen)
的	(Strukturpartikel, vor allem zur Verbindung eines Attributs mit dem darauf folgenden, von diesem Attribut näher bestimmten Kern einer Nominalphrase)
还是	oder (in Alternativfragen)
日语	Japanisch (aber nicht, wenn nur auf Geschriebenes bezogen)
还	(hier:) außerdem noch; auch noch; (sonst u.a.:) (zeitliches) noch; noch immer
王文	(Personenname: Familienname Wáng, Vorname Wén)
中国人	Chinese/‌‑in
中国	China (wörtl. „Mitte-Land" - China ist das Reich der Mitte)
人	Mensch
韩国	Südkorea
日本	Japan (wörtl. „Sonnenursprung" - Japan ist das Land der aufgehenden Sonne)
七	sieben
三	drei
中	(hier:) unter (im Sinn von „in der Menge der ..."); (sonst oft:) in; inmitten (nominale Hauptbedeutung:) Mitte
两	zwei (obligatorisch statt „二" vor den meisten Zähleinheitswörtern)
美国	USA (美: phonetische Entlehnung der zweiten Silbe von „America")
四	vier
德国	Deutschland (德: phonetische Entlehnung der ersten Silbe von „Deutschland")
九	neun
英国	UK (英: phonetische Entlehnung der ersten Silbe von „England"; allerdings ist 英国 die umgangssprachliche Kurzbezeichnung für das UK, nicht für England)
