现在	jetzt
开始	anfangen; beginnen
上课	Unterricht haben; den Unterricht besuchen; unterrichten
上	(Unterricht) haben; (sonst u.a.:) (den Unterricht, einen Kurs, eine Bildungseinrichtung) besuchen; (den Unterricht) abhalten; (Hauptbedeutung:) hin-/‌heraufgehen/‌‑fahren (usw.)
课	(allgemeinste Bedeutung:) Unterricht; (spezifische Bedeutungen je nach Zähleinheitswort und sonstigem Kontext u.a.:) Unterrichtsfach; Lehrveranstaltung; Unterrichtsstunde; Unterrichtseinheit
先	zuerst; zunächst; (sonst v.a.:) {zunächst} noch; schon mal (z.B. in „Ich gehe schon mal")
复习	(Gelerntes) wiederholen
然后	danach; nachher
再	(erstes Vorkommen im Lektionstext:) dann; (zweites Vorkommen:) noch; (Hauptbedeutung:) wieder
做	machen
练习	üben
练习	Übung
给	geben
请	bitte{n}; ersuchen; einladen
听写	ein Diktat schreiben (wörtl.: „hinhören schreiben")
听写	Diktat
这些	diese (Plural)
那些	jene (Plural)
生字	neue (wörtl.: „fremde") Schriftzeichen
别	nicht (in Aufforderungen und Bitten)
别	andere{r/‌‑s}
别字	falsch gelesenes oder geschriebenenes Schriftzeichen
错	FALSCH
多音字	Schriftzeichen mit mehreren Aussprachen
对	richtig; stimmt
有一些	manche; einige; mehrere; eine Anzahl von (im Sinn von: „es gibt manche {...} / einige {...} / mehrere {...} / eine Anzahl von ..., die")
一些	manche; einige; mehrere; eine Anzahl von
发音	Laute aussprechen (wörtl. "aussenden - Laute")
发音	Aussprache
音	Laut
发	hervorbringen; aussenden; absenden
有的	manche
笔画	Strich (eines chinesischen Schriftzeichens)
笔	(stiftförmiges) Schreibgerät (wie Pinsel, Kugelschreiber, Füllfeder, Bleistift)
笔	Strich (eines chinesischen Schriftzeichens)
多	viel
少	wenig
上边	oben; oberhalb; über; auf; an; (mit 的:) oben genannte{r/‌-s}; obiger{r/‌-s}
下边	unten; unterhalb; unter; {als} nächste{r/‌-s}; (mit 的:) folgende{r/‌-s}
古	aus alter Zeit stammend
叶	Blatt (einer Pflanze)
外边{儿}	außen; draußen; außerhalb; (mit 的:) äußere{r/‌‑s}
外	außerhalb; außen; äußere{r/‑s}
里边{儿}	innen; drinnen; innerhalb; in; (mit 的:) innere{r/‌‑s}
田	Feld
出头	(hier:) her‑/hinausragen; hervorstehen
出	(hier:) her‑/hinausragen lassen; (Hauptbedeutung:) sich her‑/hinausbegeben
头	(hier:) Anfang (bzw.) Ende; (Grundbedeutung:) Kopf
由	(schriftsprachlich:) von; durch
甲	(erstes Zeichen des zehnteiligen Ordnungszahl-Systems 天干 tiāngān = „Himmelsstämme"); Nummer eins; erste{r/‌‑s}
申	erzählen; erklären
