这儿	hier (nordchinesisch umgangssprachlich für 这里 zhèlǐ/‌zhèli)
图书馆	Bibliothek; Bücherei (图书 wörtl. „Karten [und] Bücher"; 馆 hier „öffentliches Gebäude")
不过	allerdings; (nicht sehr entschiedenes) aber (lässt die ausgedrückte Wende als Zusatzinformation erscheinen) (Anm.: als Adverb bedeutet „不过" „nur", „bloß", „lediglich", „nicht mehr als")
过	(Hauptbedeutung:) überqueren; überschreiten
在	(ohne Objekt:) da sein; anwesend sein; existieren; am Leben sein; (mit Orts- oder Zeitpunkt-Angabe als Objekt:) (am angegebenen Ort oder zum angegebenen Zeitpunkt) sein; sich (am angegebenen Ort) befinden; (am angegebenen Ort) leben
哪儿	wo (nordchinesisch umgangssprachlich für 哪里 nǎlǐ/‌nǎli - in dessen Bedeutung „ach wo" als Erwiderung eines Kompliments aber nur mit der Endpartikel 呀 ya, also 哪儿呀)
那儿	dort (nordchinesisch umgangssprachlich für 那里 nàlǐ/nàli)
那边{儿}	dort (verschwommener als那儿); {da/dort} drüben; in der Richtung; {in} die Richtung; (Nomen + 那边 mit voll betontem 那 {+ 的}:) auf der anderen Seite des/der ...; jenseits des/der ...; (Nomen + 那边 mit schwach betontem 那:) {dort} beim ... / {dort} bei der ...
院子	Hof (aber nicht hinter Nummer oder in Zusammensetzungen)
院	Hof (v.a. hinter Nummer, vor Positionswort - z.B. 院里 = „im Hof" - oder in Zusammensetzungen); (in Bezeichnungen für bestimmte Institutionen oder öffentliche Orte, im Deutschen manchmal auch „-hof" wie z.B. in „Oberster Gerichtshof")
里	in
里	innen; innere{r/‌‑s}
教学楼	Unterrichtsgebäude
教学	Unterricht (Anm.: 教 als frei verwendbares Verb mit der Bedeutung „unterrichten" im 1. Ton)
楼	Gebäude (z.B. 二 {号} 楼 = „Gebäude {Nummer} 2"; Stock (z.B.: 二楼 = „zweiter Stock" nach chinesischer Zählweise = „erster Stock" nach deutscher Zählweise)
找	suchen; aufsuchen; sich an ... wenden; zu sprechen wünschen; (Geld) herausgeben;
校园	Universitätsgelände; Campus (einer Universität oder Schule); Schulgelände; Schulhof
地图	Landkarte (z.B. auch für einen Stadtplan oder den Lageplan eines Campus verwendbar)
号	Nummer; Tag des Monats (nur nach Zahl oder in Zusammensetzungen)
从	(weiter unten in dieser Lektion:) von; (hier:) aus (z.B. in „aus dem Hof hinausgehen"); durch (z.B. in „durch das Fenster hinausschauen"); über (z.B. in „über die Brücke gehen"); via
出去	sich hinausbegeben; hinausgehen; nach draußen gehen; fortgehen (aber nicht für lange Zeit)
去	(drückt als Richtungskomplement aus, dass sich eine Handlung irgenwo „hin" vollzieht, jedenfalls nicht „her" zur Position des Sprechers oder zu dem Ort, in den sich der Sprecher hineinversetzt)
进	sich hin‑/hereinbegeben; hineingehen; hereinkommen; eintreten (ursprüngliche Bedeutung: „vorwärts schreiten")
电话	Telefon; Telefonat
号码	Nummer (nicht zur Nummerierung verwendet: z.B. „Nr. 5" = 五号)
多少	wie viel{e} (Anm.: auf Chinesisch fragt man nach der Telefonnumer nicht mit „wie ist ...", sondern mit „wie viel ist" = ... 是多少)
多	viel (Achtung: Attributives „viele" benötigt außer in festen Wendungen vor 多 ein 很; trotzdem fehlt dahinter meistens das 的!)
少	wenig (attributives „wenige" meist很少的; 很少 ohne的nur als Attribut von 人 als Subjektskern)
书	Buch
{是} ... 的	(Dieser Typ der „‍是 ... 的"- Konstruktion dient im Normalfall dazu, bei einer bereits erfolgten und als bekannt vorausgesetzten Handlung auf deren Umstand, Zweck, Ausführenden, Gegenstand oder Gegenüber aufmerksam zu machen. Sofern 是 überhaupt verwendet wird, steht das hervorzuhebende Element hinter 是. Die Verneinung erfolgt mit 不 vor dem in der verneinten Form obligatorischen 是. Im Satz 我是从图书馆借的erscheint allerdings nicht nur der Umstand 从图书馆 erwähnenswert, sondern auch die Handlung 借kann nicht als bekannt vorausgesetzt werden. Dieser Typ der 是 ... 的-Konstruktion darf nicht verwechselt werden mit: 1) einem anderen Typ, welcher der überzeugten Behauptung dient; 2) 是 + 的-Phrase wie z.B. 是蓝的 = wörtl. "ist ein Blaues" = "ist blau".)
借	sich ausborgen; entleihen; (meist mit angehängter Präposition 给gěi:) (jemandem) borgen/leihen
想	möchte/‌‑est/‌‑en/‌‑et
去	hingehen/‌‑fahren/‌‑fliegen (usw.); (allgemein:) sich hinbegeben (Zielort kann als Objekt von 去 folgen)
能	(meist:) können (weil es die Umstände erlauben oder aufgrund einer Fähigkeit); (bei erhofften Ereignissen:) es besteht die Möglichkeit, dass; (verneint auch: „nicht dürfen")
告诉	sagen; mitteilen; wissen lassen (verlangt die Nennung der/des Empfänger{s} der Mitteilung als indirektes Objekt)
一直	(im räumlichen Sinn:) geradeaus; (im zeitlichen Sinn:) ununterbrochen; die ganze Zeit über
往	nach (im Sinn von „in Richtung")
前	vorne; vor; vordere{r/‌‑s}
走	gehen; (z.B. in „Wie kommt man hin?":) hinkommen (nicht nur für Fußgänger anwendbar); weggehen; aufbrechen
就	(vor dem zweiten von zwei Ereignissen v.a. zum Ausdruck, dass dieses unmittelbar auf das erste folgt / folgen wird / gefolgt ist:) und schon; sogleich; gleich {nachdem}; sobald (im Deutschen natürlich vor dem ersten Ereignis) (Angaben zu weiteren der zahlreichen Bedeutungen von 就an geeigneter Stelle)
到	ankommen; eintreffen
到	(hier zum Ausdruck des Erreichens eines Handlungsziels dadurch, dass der/‌die/‌das von der Handlung Betroffene zugänglich ist; im Falle der Handlung 看 = „schauen" drückt看到 „sehen" aus - im Lektionstext infolge der Tatsache, dass sich das Unterrichtsgebäude im Gesichtsfeld befindet); (sonst v.a. zum Ausdruck des Erreichens eines Orts/Zeitpunkts/Grades infolge der im Verb ausgedrückten Handlung; nach einem Adjektiv drückt 到 das Erreichen des nachfolgend angegebenen Grades aus.)
左	links; links von; linke{r/‌‑s}
拐	abbiegen
了	(Am Satzende drückt 了 häufig - so wie hier - das Eintreten einer neuen Situation aus.)
不{用}谢	nichts zu danken
用	verwenden; gebrauchen; benutzen
用	(nur verneint: 不用 = „nicht zu ... brauchen")
谢	danken
