上午	{am} Vormittag
刚	{gerade} eben; gerade erst; eben erst; erst vor Kurzem; kaum; gerade einmal (Anm.: In seiner zeitbezogenen Verwendung kennzeichnet 刚ein Ereignis oder einen Zustand als subjektiv erst kurz vor dem Bezugszeitpunkt eingetreten und ununterbrochen bis in diesen fortwirkend - z.B. wirkt 到in 她刚到 = „Sie ist gerade eben / erst vor Kurzem angekommen" insofern ununterbrochen bis zum Bezugszeitpunkt - hier: bis zum Zeitpunkt des Sprechens - fort, als „sie" die ganze Zeit bis zu diesem Zeitpunkt da ist.)
在	beim ... sein; dabei sein zu ... (在 hier Adverb! Es drückt den progressiven Aspekt aus, d.h., dass man eine Tätigkeit als im Gange befindlich betrachtet; dient manchmal auch zur Intensivierung des Ausdrucks - Bsp.: 我在问你 ... = „Ich frage dich ..."; entspricht in vielen Fällen der englischen „‑ing"‑Form)
正在	gerade beim ... sein; gerade dabei sein zu ... (kennzeichnet eine Tätigkeit als gerade zu einem Bezugszeitpunkt (z.B. dem Zeitpunkt des Sprechens) im Gange befindlich; meist nur mit „gerade" + Verb übersetzt)
看	(hier:) sich anschauen; auf ... schauen
... 的时候	(temporales) wenn ...; als ... (Beispiel: 他来的时候 = „wenn er kommt"/„als er kam", wörtlich „[zum] Zeitpunkt von ‚er kommt'")
时候	Zeitpunkt; Moment; Zeit
刚刚	{gerade} eben; gerade erst; eben erst; erst vor Kurzem; kaum; gerade einmal (wie 刚, betont aber stärker die subjektive Kürze des Zurückliegens)
从	(hier:) durch
大门口	Toreingang
门口	Eingang
进来	hereinkommen
来	(drückt als Richtungskomplement aus, dass sich eine Handlung „her" zur Position des Sprechers oder zu dem Ort, in den sich der Sprecher hineinversetzt, vollzieht)
来	(Hauptbedeutung:) kommen
刚好	zufällig gerade; es trifft/traf sich, dass; zufällig genau; gerade noch (wie in „gerade noch ... erreicht haben")
看见	sehen; erblicken
见	(Resultatkomplement, v.a. zum Ausdruck, dass eine der sensorischen Aktivitäten „schauen", „hinhören", „riechen" zur entsprechenden Sinnesempfindung geführt hat)
正	(mit zeitlichem Bezug:) gerade (zu einem Bezugszeitpunkt, z.B. dem Zeitpunkt des Sprechens); (sonst oft:) genau
要	(hier:) wollen
里面	in; innen; drinnen; innerhalb; (mit 的:) innere{r/‌‑s}
走过来	sich (zu Fuß) nähern; (zu Fuß) herüberkommen
过来	(Richtungskomplement zur Angabe, dass eine Handlung her zum Sprecher oder zu dem Ort, in den sich der Sprecher hineinversetzt, erfolgt; im Gegensatz zu 来, das als Verbkomplement nur die Richtung angibt, veranschaulicht 过来 jedoch den Vorgang; dieser kann, aber muss nicht - wie es das deutsche „herüber" ausdrückt - in einer Durch- oder Überquerung von etwas anderem als dem bloßen Raum bestehen.)
过来	herkommen; herüberkommen (vgl. damit 来 = „kommen")
过	passieren; überqueren; überschreiten; übertreffen (zeitliche Bedeutungen des Verbs 过in L. 12)
位	(höfliches Zähleinheitswort für Personen, darf aber nicht auf das Wort 人 angewendet werden)
啊	(hier zum Ausdruck einer leichten Überraschung; länger ausgesprochen zum Ausdruck des Begreifens; kürzer ausgesprochen zum Ausdruck des Einverständnisses)
