德文	Deutsch (umfasst Sprache und Schrift)
老子	(spaßiger Personenname: Familienname Lǎo, Vorname Zǐ = u.a. „Meister")
老子	Laozi (in älteren deutschen Texten oft „Laotse", legendärer Begründer des Daoismus (in älteren deutschen Texten oft „Taoismus"), soll im 6. Jahrhundert v. Chr. gelebt haben)
花思	(Personenname: Familienname Huā, Vorname Sī)
思	{nach}denken; überlegen
小名	Kosename für ein Kind
哥哥	älterer Bruder
姐姐	ältere Schwester
妹妹	jüngere Schwester
父母	Eltern
首都	Hauptstadt
访问学者	Gastwissenschaftler (eigtl. "Gastgelehrter", wörtlich "besuchender Gelehrter", engl. „visiting scholar")
访问	einen Besuch abstatten (und dabei Gespräche führen); (einen Ort zu einem Zweck) besuchen
学者	Gelehrte{r}
因为	weil
给	(samt nachfolgendem Objekt vor einem Verbalausdruck, meistens um den/‌die/‌das vom Objekt Bezeichnete{n} als den/die Nutznießer{in} einer Handlung zu kennzeichnen)
当	als ... fungieren/dienen/arbeiten
翻译	übersetzen; dolmetschen
翻译	Übersetzer{in}; Dolmetscher{in}; Übersetzung
所以	daher; deshalb; deswegen
以后	nachher; danach; später; in Hinkunft; künftig; ... 以后 = nachdem ... / nach (+ Zeitspanne) / in (+ Zeitspanne); {从} ... 以后 = von ... an; (in allen Verwendungen dient 以后 als zeitliches, nicht als räumliches Positionswort)
才	erst; gerade erst; nur
后来	{später} dann; später; in weiterer Folge (bezeichnet einen Zeitraum, der in der Vergangenheit begonnen hat; wenn Zeitraum gemeint, der jetzt oder in der Zukunft beginnt, stattdessen 以后)
爱	lieben
爱	Liebe
上	(hier Resultatskomplement zum Ausdruck des Hineingeratens in einen Zustand oder des Beginnens einer Handlung)
到	(als Resultatskomplement hinter einem Verb u.a. zum Ausdruck des Erreichens eines Orts/Zeitpunkts/Grades infolge der im Verb ausgedrückten Handlung)
了	(hinter einem Zustandsverb wie 有drückt das Aspektsuffix 了 das Eintreten des jeweilige Zustands aus)
女儿	Tochter
儿子	Sohn
口	(Zähleinheitswort für 人, wenn damit Familienmitglieder gemeint sind; Zähleinheitswort für Speisen/Flüssigkeiten mit der Bedeutung „Bissen"/„Schluck"; Zähleinheitswort für Ein-/Ausgeatmetes; Zähleinheitswort für einige Dinge mit einer Öffnung als besonderem Merkmal wie z.B. Brunnen = 井 jǐng)
住	wohnen
生活	leben
生活	Leben
已经	bereits; schon
多	mehr als; über (wenn auf den Wert der Einerstelle bezogen, hinter dem Zähleinheitswort; wenn auf den Wert einer höheren Stelle bezogen, direkt hinter diesem)
了	(Am Ende eines Satzes, hinter dessen Prädikatsverb ein Komplement der Dauer/‌Frequenz oder ein quantifiziertes Objekt steht, betont了 das Erreichen der jeweiligen Dauer, Frequenz oder Menge.)
蓝	blau
眼睛	Auge
黄	gelb (auch als erste Annäherung für gelb-ähnliche Farben wie z.B. „blond" obwohl es die jeweiligen Farbadjektive gibt) (Anm.: 黄色 heißt nicht nur „gelbe Farbe" sondern wird auch attributiv oder in einer 的-Phrase für „pornographisch", „erotisch", „Sex-", „obszön", „dekadent" verwendet)
头发	Kopfhaar
先生	Herr; Ehemann
黑	schwarz (in erster Annäherung u.a. auch für die dunkelbraune Augenfarbe der Chinesen)
妇女	Frau
鼻子	Nase
比	vergleichen
比	als (in Vergleichen); verglichen mit
高	hoch; groß (auf die Körpergröße bezogen) (im Zusammenhang mit鼻子 bezieht sich高 auf den Abstand des Nasenrückens vom Gesicht)
个子	Körpergröße; Statur; Wuchs
矮	klein (auf die Körpergröße bezogen)
颜色	Farbe
色	Farbe (Beispiele: 蓝色 = „blaue Farbe"; 蓝色的 = wörtl. „von blauer Farbe" = „blau"); Gesichtsausdruck; schönes Aussehen einer Frau; Sex; Anblick; Sorte
呢	(Die Modalpartikel 呢 kann an auch an eine Ja-nein-Frage des Typs „X-nicht-X", an jede Alternative einer Alternativfrage oder an eine Ergänzungsfrage angehängt werden; sofern die jeweilige Frage nicht rhetorisch gemeint ist, hebt 呢 hervor, dass man einer Sache auf den Grund gehen möchte - wobei die Frage aus reinem Interesse gestellt werden kann, aber auch einen ungeduldigen, klagenden, verwunderten oder verwirrten Unterton haben kann.) (Deutsche Entsprechungen:) denn; nun; denn nun
将	(in förmlicher Sprache zur Anzeige der Zukunft:) werden
家人	Familienangehörige{r}
