每	jede{r/‌‑s}
月	Monat; (ursprüngl. und noch in Zusammensetzungen:) Mond
星期	Woche
开学	das Semester/Schuljahr‌ (usw.) beginnt
今年	heuer (wörtl. „jetziges Jahr")
日	Tag; Tag des Monats (v.a. in geschriebener Sprache); (ursprüngl. und noch in Zusammensetzungen:) Sonne
日	Tag (v.a. in geschriebener Sprache)
开学日	Semesterbeginn; erster Tag des Semesters; erster Tag des Schuljahrs
... 之前	vor ... (meistens im zeitlichen Sinn); bevor ...
来	(drückt hier aus, dass der darauf folgende Verbalausdruck
die Handlung bezeichnet, die man vorhat
bzw. sich anschickt zu tun)
让	(u.a.:) lassen; (auch im SInn von „veranlassen":) sagen, dass ... soll{st/‌‑en/‌‑t}
自己	selbst; selber; (meist mit 的:) eigener/‌‑e/‌‑es
做	(Hauptbedeutung:) machen
自我介绍	sich selbst vorstellen (im Lektionstext hauptwörtlich verwendet)
自我	sich {selbst}
介绍	vorstellen; mit ... bekannt machen; mit ... vertraut machen; empfehlen; vorschlagen
跟	und
重要	wichtig
重	schwer (v.a. was das Gewicht betrifft, aber z.B. auch auf eine Erkrankung bezogen, jedenfalls nicht im Sinn von "schwierig"); wichtig; gewichtig; bedeutend
红	rot
没有关系	(hier:) keine Rolle spielen; ohne Belang sein
爸爸	Papa (auch von erwachsenen Chinesen gebraucht - oft in Kontexten, in denen man auf Deutsch "Vater" sagen würde)
老{是}	ständig; andauernd (oft in Klagen verwendet)
吃	essen (Anm.: Wenn weder aus dem Satz noch aus dessen Kontext ein konkretes Objekt von 吃hervorgeht, wird in der Regel ein wenig spezifisches Objekt wie 饭fàn (= „Essen") im Fall einer Mahlzeit oder 东西dōngxi (= wörtl. „Sache{n}", hier „etwas") eingesetzt.)
子	Kind; Samen; Kern; gelehrter Meister
子	Meister (als ehrender Namenszusatz)
老子	(umgangssprachlich für:) Vater; ich alter Kerl
会	(etwas Erlernbares) können (nur mit bestimmten Objekten, z.B. den Namen von Sprachen, wie etwa in 会汉语 = „Chinesisch können")
会	(hier:) (etwas Erlernbares) können; (eine weitere ähnliche Bedeutung:) sich auf (etwas) verstehen
妈妈	Mama (auch von erwachsenen Chinesen gebraucht - oft in Kontexten, in denen man auf Deutsch "Mutter" sagen würde)
花市	Blumenmarkt
花色	Muster und Farben; Sortiment
和	mit; gegen (z.B. in „gegen ihn einen Wettkampf austragen"); wie (z.B. in „gleich groß wie")
长	lang (normalerweise im räumlichen Sinn, bezogen auf das Wort 时间natürlicherweise im zeitlichen Sinn) (Achtung: In der Aussprache zhǎng heißt 长 „wachsen".)
时间	Zeit
总是	stets; immer
对 ... 来说	für ... (im Sinn von „wenn man (etwas) auf ... bezieht")
母语	Muttersprache
非常	(starkes) sehr; äußerst
语病	fehlerhafter Ausdruck; mangelhafte Formulierung (wörtl.: „Sprachkrankheit")
病	Krankheit
病	krank sein
... 的意思是说	was ... sagen will, ist; worauf ... hinaus will, ist
生病	erkranken; krank werden
生	(Grundbedeutung:) gebären; (hier:) sich ... zuziehen
说话	sprechen (ohne 话, wenn ein konkretes Objekt genannt wird oder aus dem Kontext erschlossen werden kann)
总	(hier:) stets; immer
一样	gleich; genauso; ebenso
应该	sollte{st/‌‑n/‌‑t} (hier im Sinn von „es wäre angebracht zu"); müssen (nicht aufgrund eines Zwanges, sondern im Sinn von „es ist angebracht zu"); (weitere ähnliche Bedeutung:) es ist für ... eine Selbstverständlichkeit zu ...
回	(hier als Zähleinheitswort für Ereignisse:) Mal; -mal
只	nur
孩子	Kind
高中生	Oberstufenschüler/-in (in China: „Schüler/-in der zehnten bis zwölften Schulstufe")
高中	Oberstufe (in China die zehnte bis zwölfte Schulstufe)
朋友	Freund{in}
它	es (Personalpronomen 3. Person Singular für Unbelebtes und - in Langzeichentexten 牠 geschrieben - für Tiere)
条	(Zähleinheitswort für längliche, oft bandförmige Dinge/Lebewesen wie Hosen, Boote, Flüsse oder Straßen bzw. Wesen wie Schlangen, Fische oder Hunde; ursprüngliche nominale Bedeutung: „dünner Zweig")
岁	Jahr (im Sinn von „Lebensjahr")
漂亮	schön; hübsch; prächtig; ausgezeichnet; glanzvoll
小狗	Hündchen
狗	Hund
