快{要} ... 了	bald ...; ... steht vor der Tür; (direkt vor Zahlenangaben ohne 要 - z.B. in 快一年了 = „bald/‌fast ein Jahr her sein")
白天	Tag (als Gegensatz zur Nacht); am Tage; untertags; tagsüber
父母亲	Eltern
一边{儿} ...一边{儿} ...	... und dabei gleichzeitig ...; zur gleichen Zeit ... und ...
一边{儿}	{eine} Seite (z.B. in 坐在一边 = „an der Seite sitzen")
喝	trinken
着	(an das Verb angehängte Partikel zum Ausdruck des Fortdauerns - Details im Grammatikteil dieser Lektion)
茶	Tee
聊	über ... plaudern; {darüber} plaudern
上	(hier:) (eine Bildungseinrichtung) besuchen
事情	Angelegenheit; Sache (aber nicht im Sinn von „Ding"); Anliegen
过	(hier:) vergehen (过了 = „nachdem ... vergangen ist/‌sind/war{en}"; bei der Angabe der Dauer bis zu einem zukünftigen Ereignis 过ohne 了: mit „in" zu übersetzen, z.B. in 过十天 = „in zehn Tagen"); (weitere zeitliche Bedeutung:) verbringen
周末	Wochenende
从 ... 开始	beginnend mit ...; von ... an
就要	(zum Ausdruck des unmittelbaren Bevorstehens:) im Begriff sein zu; gleich; (wenn davor zukünftiger Zeitpunkt oder zukünftige Zeitspanne genannt, dann zum Ausdruck, dass etwas schon zu diesem Zeitpunkt oder innerhalb dieser Zeitspanne der Fall ist:) schon
... 了	
什么时候	wann (wörtl. „[zu] was [für einem] Zeitpunkt")
前天	vorgestern
忙	beschäftigt {sein}; viel zu tun haben
见面	einander treffen/sehen
面	Gesicht
面	Mehl; Nudeln
咖啡馆	Café; Kaffeehaus
咖啡	Kaffee
情况	Umstand; Situation; Verhältnisse; Lage
什么	(hier:) irgendwelche; irgendein{e}; (ähnliche Bedeutung:) irgendwas
问题	(erstes Vorkommen im Text 2 dieser Lektion:) Frage; (zweites und drittes Vorkommen:) Problem
就	(in 我的名字就叫关系 verleiht 就 dem Umstand Nachdruck, dass es so und nicht anders ist);
就	(in 就会有问题:) dann (markiert im Hauptsatz dessen übrigen Inhalt - hier: 会有问题 - als natürliche Konsequenz bei Zutreffen der Bedingung, die im davor stehenden Nebensatz - bisweilen ohne konditionale Konjunktion - formuliert ist)
会	(hier:) (mit großer Gewissheit) werden; (weitere ähnliche Bedeutungen:) mit großer Gewissheit so sein, dass
真	wirklich; echt
真	wahr, wirklich, echt
怎么	(hier:) wie kommt es, dass
起	(drückt hier aus, dass die Verbhandlung - im Lektionstext 想 = „{nach}denken" - etwas oder jemanden ins Spiel bringt; X 想起 Y = „es kommt X in den Sinn, dass Y" bzw. „es kommt X Y in den Sinn" oder „X erinnert sich daran, dass Y" bzw. „X erinnert sich an Y")
自己	(meistens:) selbst; selber; (mit 的:) eigene; (manchmal nur zur Bezugnahme auf eine bereits erwähnte Person, z.B. hier: Präposition 给 + 自己 = „mir"/‌„dir"/‌„sich" usw.)
起	(hier:) (jemandem einen Namen) geben (abgeleitet von der Bedeutung „erstellen"); (sonst häufig:) aufstehen; sich erheben; es bildet sich ...; es entwickelt sich ...; errichten; herausziehen; entfernen; beginnen
关系网	Beziehungsnetz
网	Netz
社会	Gesellschaft; (als Attribut:) Gesellschafts-; gesellschaftliche{r/‌‑s}; soziale{r/‌‑s}
会	(u.a.:) Versammlung; Treffen; Sitzung; Verein; Bund
特别	besonders; außerordentlich; ungemein (Anm.: im Gegensatz zum Deutschen „besonders" darf im Chinesischen diekt hinter 特别 kein Nomen stehen-Beispiel: "besonders er" = 特别是他)
特别	besonders; ungewöhnlich
看重	Gewicht / großen Wert auf ... legen; wertschätzen; hochschätzen
与	und (in förmlicher Sprache)
与	(u.a.:) mit (in förmlicher Sprache)
办事	seine Arbeit/Aufgaben erledigen; sein Amt ausüben
办	erledigen; mit (etwas) fertig werden (Anmerkung: 怎么办？= wörtl. "Wie damit fertig werden?" = "Was kann man da tun?"); erledigen lassen; sich (ein Dokument) ausstellen lassen; betreiben; verananstalten
留学	ein Auslandsstudium / einen Schulaufenthalt im Ausland absolvieren
留学生	Auslandsstudent{in}; Austauschstudent{in}/‌‑Schüler{in}
体会	in der Praxis erfahren; am eigenen Leib zu spüren bekommen; sich {in ...} einfühlen
体会	in der Praxis gewonnene Erfahrung/Erkenntnis; Eindruck
还	(drückt hier positives Erstaunen aus: 还真 = „in der Tat"; „tatsächlich")
这样	so; solcherart; solche{r/‌‑s}; derartige{r/‌‑s}
了解	gut {über ...} Bescheid wissen; sich gut {mit ...} auskennen; verstehen; sich {über ... } informieren; sich mit ... vertraut machen
不管	egal; ganz gleich ob
不管	sich nicht darum kümmern; sich nicht darum kümmern, ob
管	sich {um ...} kümmern; {für ...} zuständig sein
反正	jedenfalls; wie dem auch sei; sowieso
愿意	willens sein; gewillt sein; bereit sein; den Wunsch haben zu
任何	jegliche{r/‌‑s}; jede{r/‌‑s}, ganz gleich, wer/was; (zusammen mit einer Verneinung im Satz:) keinerlei; kein{e} einzige{r/‌‑s}
其实	eigentlich; in Wirklichkeit
改	ändern; (einen Tests usw.) korrigieren
关心	(spaßiger Personenname: Familienname Guān, Vorname Xīn)
关心	sich kümmern; sich um ... kümmern; für ... sorgen; Interesse haben; Interesse für ... haben
怎么样	(hier:) wie wär's; was hältst du davon; (sonst u.a.:) wie ist/sind/war{en} (usw.); wie geht's;
